keyword,theme,search_intent,priority,estimated_volume,estimated_competition,estimated_cpc_low,estimated_cpc_high,composite_score,performance_rank,source
best mass gainer bengaluru,Location-based Queries,commercial,Low,1394,High,0.96,1.98,5.65,29,location_variant
mass gainer near bengaluru,Location-based Queries,informational,Medium,3581,Medium,0.54,1.16,6.15,24,location_variant
bengaluru mass gainer,Location-based Queries,commercial,Low,2525,High,0.8,1.81,5.75,28,location_variant
mass gainer delivery bengaluru,Location-based Queries,transactional,Medium,640,Medium,0.5,1.37,6.05,25,location_variant
mass gainer pune,Location-based Queries,commercial,Medium,2278,Low,0.24,0.68,7.75,8,location_variant
mass gainer in pune,Location-based Queries,informational,Medium,2055,Medium,0.41,1.22,6.15,24,location_variant
best mass gainer pune,Location-based Queries,commercial,Medium,3169,High,0.69,1.81,6.15,24,location_variant
mass gainer near pune,Location-based Queries,informational,Medium,3131,Medium,0.55,1.24,6.15,24,location_variant
mass gainer hyderabad,Location-based Queries,commercial,Medium,905,Low,0.23,0.81,6.75,18,location_variant
mass gainer in hyderabad,Location-based Queries,informational,Medium,1681,Low,0.26,0.8,6.65,19,location_variant
best mass gainer hyderabad,Location-based Queries,commercial,Medium,1879,Medium,0.6,1.2,6.65,19,location_variant
mass gainer near hyderabad,Location-based Queries,informational,Medium,4815,Medium,0.59,1.22,6.15,24,location_variant
hyderabad mass gainer,Location-based Queries,commercial,Low,3037,High,0.76,1.94,5.75,28,location_variant
mass gainer delivery hyderabad,Location-based Queries,transactional,Medium,2531,High,0.81,1.86,6.05,25,location_variant
whey protein cost,Category Terms,transactional,Medium,2510,Medium,0.49,1.2,7.25,13,commercial_variant
whey protein online,Category Terms,commercial,Medium,2764,Low,0.23,0.7,7.95,6,commercial_variant
best whey protein,Category Terms,commercial,Medium,2481,High,0.66,1.94,6.15,24,commercial_variant
whey protein review,Category Terms,commercial,Medium,5889,Medium,0.45,1.37,7.65,9,commercial_variant
whey protein reviews,Category Terms,commercial,High,2907,Low,0.26,0.73,8.15,5,commercial_variant
cheap whey protein,Category Terms,transactional,Medium,2935,High,0.83,1.86,6.25,23,commercial_variant
whey protein discount,Category Terms,transactional,Medium,2294,Medium,0.49,1.28,7.25,13,commercial_variant
whey protein deals,Category Terms,commercial,Low,739,Medium,0.5,1.23,5.95,26,commercial_variant
whey protein offers,Category Terms,commercial,Medium,1097,Low,0.3,0.81,7.45,11,commercial_variant
order whey protein,Category Terms,transactional,Medium,2565,Medium,0.52,1.27,7.25,13,commercial_variant
whey protein purchase,Category Terms,transactional,Medium,637,Medium,0.52,1.18,6.25,23,commercial_variant
where to buy whey protein,Long-Tail Informational,transactional,Medium,3107,High,0.61,1.45,6.85,17,commercial_variant
whey protein for sale,Long-Tail Informational,transactional,Medium,1552,Medium,0.5,1.26,6.75,18,commercial_variant
protein powder cost,Category Terms,transactional,High,2982,Low,0.25,0.81,8.25,4,commercial_variant
protein powder online,Category Terms,commercial,Low,500,Medium,0.43,1.32,5.95,26,commercial_variant
protein powder reviews,Category Terms,commercial,Medium,731,Low,0.29,0.7,7.15,14,commercial_variant
cheap protein powder,Category Terms,transactional,High,2792,Low,0.25,0.82,8.25,4,commercial_variant
protein powder discount,Category Terms,transactional,High,2096,Low,0.25,0.8,8.25,4,commercial_variant
protein powder deals,Category Terms,commercial,Medium,4322,Medium,0.52,1.22,6.95,16,commercial_variant
protein powder offers,Category Terms,commercial,Medium,2682,Medium,0.46,1.18,6.95,16,commercial_variant
order protein powder,Category Terms,transactional,Medium,3522,Medium,0.55,1.22,7.25,13,commercial_variant
protein powder purchase,Category Terms,transactional,Medium,1914,Low,0.25,0.75,7.75,8,commercial_variant
where to buy protein powder,Long-Tail Informational,transactional,Medium,4436,High,0.66,1.72,6.45,21,commercial_variant
protein powder for sale,Long-Tail Informational,transactional,Medium,5434,Medium,0.6,1.23,7.75,8,commercial_variant
gym supplements cost,Category Terms,transactional,Medium,3707,Medium,0.44,1.15,7.25,13,commercial_variant
gym supplements online,Category Terms,commercial,Medium,3499,Medium,0.57,1.23,6.95,16,commercial_variant
gym supplements reviews,Category Terms,commercial,High,6220,Low,0.24,0.75,8.65,2,commercial_variant
cheap gym supplements,Category Terms,transactional,Medium,500,Medium,0.53,1.36,6.25,23,commercial_variant
gym supplements discount,Category Terms,transactional,Medium,5694,Medium,0.4,1.24,7.75,8,commercial_variant
gym supplements deals,Category Terms,commercial,Medium,1471,Medium,0.54,1.31,6.45,21,commercial_variant
gym supplements offers,Category Terms,commercial,Medium,3459,Medium,0.54,1.16,6.95,16,commercial_variant
order gym supplements,Category Terms,transactional,Medium,4952,Medium,0.46,1.21,7.25,13,commercial_variant
gym supplements purchase,Category Terms,transactional,Low,1848,High,0.9,1.91,5.75,28,commercial_variant
where to buy gym supplements,Long-Tail Informational,transactional,Low,1474,High,0.57,1.75,5.95,26,commercial_variant
gym supplements for sale,Long-Tail Informational,transactional,High,4792,Low,0.2,0.82,8.25,4,commercial_variant
fitness nutrition price,Category Terms,transactional,Medium,4437,High,0.73,1.81,6.45,21,commercial_variant
fitness nutrition cost,Category Terms,transactional,Medium,1915,Low,0.27,0.8,7.75,8,commercial_variant
fitness nutrition online,Category Terms,commercial,Medium,2668,Medium,0.55,1.16,6.95,16,commercial_variant
fitness nutrition review,Category Terms,commercial,Medium,523,Medium,0.53,1.32,6.15,24,commercial_variant
fitness nutrition reviews,Category Terms,commercial,High,2811,Low,0.28,0.77,8.15,5,commercial_variant
cheap fitness nutrition,Category Terms,transactional,High,2843,Low,0.21,0.75,8.25,4,commercial_variant
fitness nutrition discount,Category Terms,transactional,Medium,1807,Low,0.21,0.74,7.75,8,commercial_variant
fitness nutrition deals,Category Terms,commercial,Low,3325,High,0.77,1.83,5.95,26,commercial_variant
fitness nutrition offers,Category Terms,commercial,Medium,2453,Low,0.23,0.69,7.95,6,commercial_variant
order fitness nutrition,Category Terms,transactional,Medium,2986,Medium,0.56,1.36,7.25,13,commercial_variant
fitness nutrition purchase,Category Terms,transactional,High,2034,Low,0.21,0.82,8.25,4,commercial_variant
where to buy fitness nutrition,Long-Tail Informational,transactional,Medium,6948,High,0.65,1.54,6.95,16,commercial_variant
fitness nutrition for sale,Long-Tail Informational,transactional,Medium,6209,Medium,0.42,1.25,7.75,8,commercial_variant
muscle building supplements price,Long-Tail Informational,transactional,Medium,3489,High,0.66,1.83,6.45,21,commercial_variant
muscle building supplements cost,Long-Tail Informational,transactional,High,3502,Low,0.24,0.72,8.25,4,commercial_variant
muscle building supplements online,Long-Tail Informational,informational,Medium,2525,Medium,0.45,1.2,6.35,22,commercial_variant
muscle building supplements review,Long-Tail Informational,commercial,Medium,1448,Low,0.24,0.81,7.65,9,commercial_variant
muscle building supplements reviews,Long-Tail Informational,informational,Low,3734,High,0.74,1.99,5.55,30,commercial_variant
cheap muscle building supplements,Long-Tail Informational,transactional,High,2856,Low,0.22,0.77,8.25,4,commercial_variant
muscle building supplements discount,Long-Tail Informational,transactional,Medium,1464,Medium,0.6,1.28,6.75,18,commercial_variant
muscle building supplements offers,Long-Tail Informational,informational,Medium,5079,Medium,0.42,1.35,6.85,17,commercial_variant
order muscle building supplements,Long-Tail Informational,transactional,Medium,2815,Medium,0.5,1.24,7.25,13,commercial_variant
muscle building supplements purchase,Long-Tail Informational,transactional,Medium,3337,Medium,0.52,1.28,7.25,13,commercial_variant
where to buy muscle building supplements,Long-Tail Informational,transactional,Medium,5581,High,0.53,1.66,6.95,16,commercial_variant
muscle building supplements for sale,Long-Tail Informational,transactional,Medium,3506,Medium,0.36,1.04,7.25,13,commercial_variant
pre workout cost,Category Terms,transactional,Medium,2902,Medium,0.43,1.32,6.85,17,commercial_variant
pre workout online,Category Terms,commercial,Low,1668,High,0.73,2.0,5.05,35,commercial_variant
best pre workout,Category Terms,commercial,Medium,4279,High,0.73,1.85,6.15,24,commercial_variant
pre workout review,Category Terms,commercial,Medium,3029,Medium,0.53,1.14,7.15,14,commercial_variant
pre workout reviews,Category Terms,commercial,Medium,1139,Medium,0.55,1.2,6.65,19,commercial_variant
cheap pre workout,Category Terms,transactional,Medium,2858,Medium,0.4,1.25,6.85,17,commercial_variant
pre workout discount,Category Terms,transactional,Medium,2140,Medium,0.41,1.19,6.85,17,commercial_variant
pre workout deals,Category Terms,commercial,Medium,3426,Low,0.27,0.68,7.55,10,commercial_variant
pre workout offers,Category Terms,commercial,Medium,3817,Medium,0.57,1.13,6.55,20,commercial_variant
pre workout purchase,Category Terms,transactional,Medium,3944,Low,0.23,0.69,7.85,7,commercial_variant
where to buy pre workout,Long-Tail Informational,transactional,Low,754,High,0.6,1.53,5.45,31,commercial_variant
pre workout for sale,Long-Tail Informational,transactional,Medium,2517,Medium,0.57,1.2,6.85,17,commercial_variant
protein isolate cost,Category Terms,transactional,High,3590,Low,0.24,0.82,8.25,4,commercial_variant
protein isolate online,Category Terms,commercial,Medium,1146,Medium,0.42,1.3,6.45,21,commercial_variant
best protein isolate,Category Terms,commercial,Low,819,High,0.8,1.96,5.15,34,commercial_variant
protein isolate review,Category Terms,commercial,High,2105,Low,0.26,0.78,8.15,5,commercial_variant
protein isolate reviews,Category Terms,commercial,Medium,4033,Medium,0.4,1.17,7.15,14,commercial_variant
cheap protein isolate,Category Terms,transactional,Medium,2616,Medium,0.54,1.29,7.25,13,commercial_variant
protein isolate discount,Category Terms,transactional,Medium,3068,Medium,0.59,1.32,7.25,13,commercial_variant
protein isolate deals,Category Terms,commercial,Medium,2451,Medium,0.59,1.3,6.95,16,commercial_variant
protein isolate offers,Category Terms,commercial,Low,500,Medium,0.46,1.15,5.95,26,commercial_variant
protein isolate purchase,Category Terms,transactional,High,5305,Low,0.2,0.73,8.75,1,commercial_variant
where to buy protein isolate,Long-Tail Informational,transactional,Medium,5588,High,0.76,1.6,6.95,16,commercial_variant
protein isolate for sale,Long-Tail Informational,transactional,Medium,1760,Medium,0.49,1.24,6.75,18,commercial_variant
buy bodybuilding supplements,Category Terms,transactional,Medium,3813,High,0.71,1.95,6.45,21,commercial_variant
bodybuilding supplements price,Category Terms,transactional,Medium,2460,High,0.76,1.82,6.45,21,commercial_variant
bodybuilding supplements cost,Category Terms,transactional,High,4364,Low,0.28,0.74,8.25,4,commercial_variant
bodybuilding supplements reviews,Category Terms,commercial,Medium,1018,Medium,0.44,1.29,6.65,19,commercial_variant
cheap bodybuilding supplements,Category Terms,transactional,Medium,2660,High,0.83,1.92,6.25,23,commercial_variant
bodybuilding supplements discount,Category Terms,transactional,Medium,866,Medium,0.43,1.29,6.25,23,commercial_variant
bodybuilding supplements deals,Category Terms,commercial,Medium,1112,Medium,0.55,1.2,6.45,21,commercial_variant
bodybuilding supplements offers,Category Terms,commercial,Medium,4314,Low,0.26,0.73,7.95,6,commercial_variant
order bodybuilding supplements,Category Terms,transactional,Medium,1412,Medium,0.54,1.17,6.75,18,commercial_variant
bodybuilding supplements purchase,Category Terms,transactional,Medium,1373,Low,0.29,0.72,7.75,8,commercial_variant
where to buy bodybuilding supplements,Long-Tail Informational,transactional,Medium,2388,High,0.61,1.46,6.85,17,commercial_variant
sports nutrition price,Category Terms,transactional,Medium,2729,High,0.64,1.95,6.45,21,commercial_variant
sports nutrition cost,Category Terms,transactional,Medium,2920,Medium,0.47,1.13,7.25,13,commercial_variant
sports nutrition online,Category Terms,commercial,Medium,3103,Medium,0.42,1.23,6.95,16,commercial_variant
best sports nutrition,Category Terms,commercial,Medium,6132,High,0.8,1.96,6.65,19,commercial_variant
sports nutrition review,Category Terms,commercial,Medium,1802,Low,0.25,0.76,7.65,9,commercial_variant
sports nutrition reviews,Category Terms,commercial,Medium,5203,Medium,0.4,1.24,7.65,9,commercial_variant
cheap sports nutrition,Category Terms,transactional,High,3483,Low,0.3,0.75,8.25,4,commercial_variant
sports nutrition discount,Category Terms,transactional,Medium,2462,Medium,0.54,1.2,7.25,13,commercial_variant
sports nutrition deals,Category Terms,commercial,Medium,1111,Low,0.28,0.79,7.45,11,commercial_variant
order sports nutrition,Category Terms,transactional,Medium,1966,Medium,0.43,1.13,6.75,18,commercial_variant
sports nutrition purchase,Category Terms,transactional,Medium,4204,Medium,0.55,1.33,7.25,13,commercial_variant
where to buy sports nutrition,Long-Tail Informational,transactional,Low,1773,High,0.54,1.52,5.95,26,commercial_variant
sports nutrition for sale,Long-Tail Informational,transactional,Medium,3609,Medium,0.4,1.2,7.25,13,commercial_variant
mass gainer price,Category Terms,transactional,Low,1376,High,0.75,1.95,5.95,26,commercial_variant
mass gainer cost,Category Terms,transactional,Medium,4667,Medium,0.4,1.2,6.65,19,commercial_variant
mass gainer online,Category Terms,commercial,Medium,2453,Medium,0.53,1.37,6.35,22,commercial_variant
best mass gainer,Category Terms,commercial,Medium,5596,High,0.91,1.81,6.65,19,commercial_variant
mass gainer review,Category Terms,commercial,Medium,500,Medium,0.58,1.32,6.15,24,commercial_variant
mass gainer reviews,Category Terms,commercial,Medium,4339,High,0.89,1.98,6.15,24,commercial_variant
cheap mass gainer,Category Terms,transactional,Medium,1373,Medium,0.48,1.2,6.15,24,commercial_variant
mass gainer discount,Category Terms,transactional,Low,2999,High,0.66,1.89,5.65,29,commercial_variant
mass gainer deals,Category Terms,commercial,Low,630,High,0.72,1.99,4.35,39,commercial_variant
mass gainer offers,Category Terms,commercial,Medium,3968,Low,0.27,0.75,7.35,12,commercial_variant
mass gainer purchase,Category Terms,transactional,Medium,3418,Low,0.29,0.79,7.65,9,commercial_variant
where to buy mass gainer,Long-Tail Informational,transactional,Medium,2636,High,0.77,1.61,6.45,21,commercial_variant
mass gainer for sale,Long-Tail Informational,transactional,Low,3881,High,0.95,1.83,5.65,29,commercial_variant
nutrabay whey protein,Brand Terms,navigational,Medium,500,Low,0.24,0.71,7.05,15,brand_variant
nutrabay protein powder,Brand Terms,navigational,Medium,500,Low,0.22,0.7,7.05,15,brand_variant
nutrabay gym supplements,Brand Terms,navigational,Medium,1110,Low,0.26,0.79,7.55,10,brand_variant
nutrabay fitness nutrition,Brand Terms,navigational,Medium,978,Low,0.26,0.7,7.05,15,brand_variant
nutrabay muscle building supplements,Brand Terms,navigational,Medium,1017,Low,0.28,0.77,7.55,10,brand_variant
nutrabay pre workout,Brand Terms,navigational,Medium,516,Low,0.24,0.78,7.05,15,brand_variant
nutrabay protein isolate,Brand Terms,navigational,Medium,500,Low,0.23,0.73,7.05,15,brand_variant
nutrabay bodybuilding supplements,Brand Terms,navigational,Medium,1050,Low,0.29,0.72,7.55,10,brand_variant
nutrabay sports nutrition,Brand Terms,navigational,Medium,525,Low,0.25,0.81,7.05,15,brand_variant
nutrabay mass gainer,Brand Terms,navigational,Medium,952,Low,0.27,0.68,7.05,15,brand_variant
whey protein nutrabay,Brand Terms,navigational,Medium,500,Low,0.21,0.68,7.05,15,brand_variant
protein powder nutrabay,Brand Terms,navigational,Medium,1416,Low,0.26,0.74,7.55,10,brand_variant
gym supplements nutrabay,Brand Terms,navigational,Medium,1016,Low,0.21,0.82,7.55,10,brand_variant
fitness nutrition nutrabay,Brand Terms,navigational,Medium,966,Low,0.25,0.71,7.05,15,brand_variant
muscle building supplements nutrabay,Brand Terms,navigational,Medium,1146,Low,0.25,0.78,7.55,10,brand_variant
pre workout nutrabay,Brand Terms,navigational,Medium,953,Low,0.21,0.72,7.05,15,brand_variant
protein isolate nutrabay,Brand Terms,navigational,Medium,1055,Low,0.28,0.74,7.55,10,brand_variant
bodybuilding supplements nutrabay,Brand Terms,navigational,Medium,1468,Low,0.25,0.74,7.55,10,brand_variant
sports nutrition nutrabay,Brand Terms,navigational,Medium,979,Low,0.2,0.7,7.05,15,brand_variant
mass gainer nutrabay,Brand Terms,navigational,Medium,648,Low,0.24,0.71,7.05,15,brand_variant
nutrabay,Brand Terms,navigational,Medium,596,Low,0.2,0.8,7.05,15,brand_variant
nutrabay official,Brand Terms,navigational,Medium,620,Low,0.3,0.79,7.05,15,brand_variant
nutrabay website,Brand Terms,navigational,Medium,1431,Low,0.29,0.71,7.55,10,brand_variant
nutrabay store,Brand Terms,transactional,Medium,618,Low,0.3,0.7,7.65,9,brand_variant
nutrabay products,Brand Terms,navigational,Medium,500,Low,0.3,0.82,7.05,15,brand_variant
nutrabay reviews,Brand Terms,navigational,Medium,500,Low,0.27,0.82,7.05,15,brand_variant
nutrabay price,Brand Terms,transactional,Medium,500,Low,0.26,0.71,7.65,9,brand_variant
nutrabay contact,Brand Terms,navigational,Medium,500,Low,0.24,0.76,7.05,15,brand_variant
nutrabay support,Brand Terms,navigational,Medium,500,Low,0.21,0.77,7.05,15,brand_variant
bigmuscles nutrition alternative,Competitor Terms,commercial,Low,995,Medium,0.6,1.17,5.95,26,competitor_variant
alternative to bigmuscles nutrition,Competitor Terms,commercial,Medium,3778,Medium,0.56,1.35,6.95,16,competitor_variant
bigmuscles nutrition vs nutrabay,Brand Terms,navigational,Medium,3032,Medium,0.59,1.37,7.05,15,competitor_variant
nutrabay vs bigmuscles nutrition,Brand Terms,navigational,Medium,3778,Medium,0.5,1.37,7.05,15,competitor_variant
bigmuscles nutrition competitor,Competitor Terms,commercial,Medium,1528,Medium,0.55,1.17,6.45,21,competitor_variant
better than bigmuscles nutrition,Competitor Terms,informational,Medium,4491,Medium,0.5,1.3,6.35,22,competitor_variant
bigmuscles nutrition replacement,Competitor Terms,commercial,Medium,4316,Medium,0.45,1.29,6.95,16,competitor_variant
like bigmuscles nutrition but better,Competitor Terms,informational,Medium,2336,Medium,0.43,0.93,6.75,18,competitor_variant
how to use whey protein,Long-Tail Informational,informational,Low,1112,Medium,0.41,1.05,5.85,27,longtail_variant
what is whey protein,Long-Tail Informational,informational,Low,1333,High,0.8,1.8,4.85,37,longtail_variant
whey protein benefits,Category Terms,informational,Low,3063,High,0.64,1.94,5.35,32,longtail_variant
whey protein side effects,Long-Tail Informational,informational,Low,985,High,0.94,1.89,4.35,39,longtail_variant
whey protein dosage,Category Terms,commercial,Medium,1635,Medium,0.53,1.18,6.45,21,longtail_variant
best time to take whey protein,Long-Tail Informational,commercial,Medium,2646,Medium,0.37,1.07,7.15,14,longtail_variant
whey protein for beginners,Long-Tail Informational,informational,Medium,2359,Low,0.27,0.69,7.35,12,longtail_variant
whey protein vs protein powder,Competitor Terms,commercial,Medium,500,Medium,0.39,0.91,6.35,22,longtail_variant
natural whey protein,Category Terms,commercial,Medium,1171,Low,0.25,0.77,7.45,11,longtail_variant
organic whey protein,Category Terms,commercial,Medium,1172,Medium,0.42,1.2,6.45,21,longtail_variant
whey protein guide,Long-Tail Informational,informational,Low,1233,Medium,0.48,1.35,5.85,27,longtail_variant
whey protein tips,Long-Tail Informational,informational,Low,2117,High,0.96,1.82,5.35,32,longtail_variant
why use whey protein,Long-Tail Informational,informational,Medium,3151,Medium,0.55,1.22,6.35,22,longtail_variant
whey protein nutrition facts,Long-Tail Informational,informational,Medium,1504,Low,0.29,0.82,6.85,17,longtail_variant
how to use protein powder,Long-Tail Informational,informational,Low,3517,High,0.66,1.55,5.35,32,longtail_variant
what is protein powder,Long-Tail Informational,informational,Low,554,High,0.89,1.9,4.35,39,longtail_variant
protein powder benefits,Category Terms,informational,Medium,2833,Medium,0.51,1.21,6.35,22,longtail_variant
protein powder side effects,Long-Tail Informational,informational,Low,500,Medium,0.53,1.19,5.35,32,longtail_variant
protein powder dosage,Category Terms,commercial,Medium,3240,Medium,0.44,1.35,6.95,16,longtail_variant
best time to take protein powder,Long-Tail Informational,commercial,Medium,1531,Low,0.17,0.6,7.65,9,longtail_variant
protein powder for beginners,Long-Tail Informational,informational,Low,934,Medium,0.44,1.13,5.35,32,longtail_variant
protein powder vs protein powder,Competitor Terms,commercial,Medium,2829,Medium,0.33,0.94,7.35,12,longtail_variant
natural protein powder,Category Terms,commercial,Medium,750,Low,0.29,0.72,6.95,16,longtail_variant
organic protein powder,Category Terms,commercial,Low,500,Medium,0.59,1.27,5.95,26,longtail_variant
protein powder guide,Long-Tail Informational,informational,Medium,500,Low,0.24,0.76,6.35,22,longtail_variant
protein powder tips,Long-Tail Informational,informational,Medium,2741,Low,0.25,0.79,7.35,12,longtail_variant
why use protein powder,Long-Tail Informational,informational,Medium,2017,Low,0.23,0.73,7.35,12,longtail_variant
protein powder nutrition facts,Long-Tail Informational,informational,Low,1155,Medium,0.58,1.23,5.85,27,longtail_variant
how to use gym supplements,Long-Tail Informational,informational,Low,1181,High,0.71,1.59,4.85,37,longtail_variant
what is gym supplements,Long-Tail Informational,informational,Medium,2113,Medium,0.5,1.18,6.35,22,longtail_variant
gym supplements benefits,Category Terms,informational,Medium,3038,Medium,0.52,1.17,6.35,22,longtail_variant
gym supplements side effects,Long-Tail Informational,informational,Low,500,Medium,0.47,1.34,5.35,32,longtail_variant
gym supplements dosage,Category Terms,commercial,Low,927,Medium,0.44,1.14,5.95,26,longtail_variant
best time to take gym supplements,Long-Tail Informational,commercial,Medium,1467,Low,0.17,0.65,7.65,9,longtail_variant
gym supplements for beginners,Long-Tail Informational,informational,Low,500,Medium,0.5,1.23,5.35,32,longtail_variant
gym supplements vs protein powder,Competitor Terms,commercial,Medium,2015,Low,0.22,0.64,7.95,6,longtail_variant
natural gym supplements,Category Terms,commercial,Medium,3104,Medium,0.47,1.3,6.95,16,longtail_variant
organic gym supplements,Category Terms,commercial,Medium,2738,Medium,0.55,1.29,6.95,16,longtail_variant
gym supplements guide,Long-Tail Informational,informational,Medium,973,Low,0.22,0.81,6.35,22,longtail_variant
gym supplements tips,Long-Tail Informational,informational,Medium,2645,Low,0.25,0.72,7.35,12,longtail_variant
why use gym supplements,Long-Tail Informational,informational,Low,821,Medium,0.49,1.13,5.35,32,longtail_variant
gym supplements ingredients,Category Terms,informational,Low,500,Medium,0.43,1.32,5.35,32,longtail_variant
gym supplements nutrition facts,Long-Tail Informational,informational,Medium,500,Low,0.2,0.74,6.35,22,longtail_variant
how to use fitness nutrition,Long-Tail Informational,informational,Low,1406,High,0.65,1.46,5.25,33,longtail_variant
what is fitness nutrition,Long-Tail Informational,informational,Medium,1918,Low,0.3,0.71,6.85,17,longtail_variant
fitness nutrition benefits,Category Terms,informational,Low,717,Medium,0.46,1.2,5.35,32,longtail_variant
fitness nutrition side effects,Long-Tail Informational,informational,Low,1429,High,0.71,1.8,4.85,37,longtail_variant
fitness nutrition dosage,Category Terms,commercial,Medium,500,Low,0.27,0.82,6.95,16,longtail_variant
best time to take fitness nutrition,Long-Tail Informational,commercial,Medium,566,Low,0.18,0.62,7.15,14,longtail_variant
fitness nutrition for beginners,Long-Tail Informational,informational,Medium,992,Low,0.27,0.8,6.35,22,longtail_variant
fitness nutrition vs protein powder,Competitor Terms,commercial,Medium,768,Medium,0.39,0.96,6.35,22,longtail_variant
natural fitness nutrition,Category Terms,commercial,Medium,3383,Low,0.23,0.78,7.95,6,longtail_variant
organic fitness nutrition,Category Terms,commercial,Medium,1958,Medium,0.56,1.17,6.45,21,longtail_variant
fitness nutrition guide,Long-Tail Informational,informational,Medium,877,Low,0.24,0.81,6.35,22,longtail_variant
fitness nutrition tips,Long-Tail Informational,informational,Low,1334,Medium,0.56,1.37,5.85,27,longtail_variant
why use fitness nutrition,Long-Tail Informational,informational,Low,2127,High,0.88,1.96,5.35,32,longtail_variant
fitness nutrition nutrition facts,Long-Tail Informational,informational,Low,1438,Medium,0.42,1.26,5.85,27,longtail_variant
how to use muscle building supplements,Long-Tail Informational,informational,Low,729,Medium,0.43,0.93,5.75,28,longtail_variant
what is muscle building supplements,Long-Tail Informational,informational,Low,1797,Medium,0.44,1.02,5.85,27,longtail_variant
muscle building supplements benefits,Long-Tail Informational,informational,Medium,2065,Medium,0.59,1.14,6.35,22,longtail_variant
muscle building supplements side effects,Long-Tail Informational,informational,Low,961,Medium,0.36,1.02,5.35,32,longtail_variant
muscle building supplements dosage,Long-Tail Informational,informational,Medium,2303,Low,0.23,0.78,7.35,12,longtail_variant
best time to take muscle building supplements,Long-Tail Informational,commercial,Medium,1837,High,0.71,1.47,6.05,25,longtail_variant
muscle building supplements for beginners,Long-Tail Informational,informational,Low,995,Medium,0.4,1.0,5.75,28,longtail_variant
muscle building supplements vs protein powder,Competitor Terms,commercial,Medium,950,Low,0.19,0.65,6.95,16,longtail_variant
natural muscle building supplements,Long-Tail Informational,informational,Medium,2691,Medium,0.57,1.3,6.35,22,longtail_variant
organic muscle building supplements,Long-Tail Informational,informational,Low,699,Medium,0.54,1.24,5.35,32,longtail_variant
muscle building supplements tips,Long-Tail Informational,informational,Low,500,Medium,0.55,1.34,5.35,32,longtail_variant
why use muscle building supplements,Long-Tail Informational,informational,Low,1962,Medium,0.36,1.06,5.85,27,longtail_variant
muscle building supplements ingredients,Long-Tail Informational,informational,Medium,1469,Low,0.22,0.73,6.85,17,longtail_variant
muscle building supplements nutrition facts,Long-Tail Informational,informational,Low,1358,Medium,0.37,1.1,5.85,27,longtail_variant
how to use pre workout,Long-Tail Informational,informational,Low,1931,Medium,0.46,1.04,5.45,31,longtail_variant
what is pre workout,Long-Tail Informational,informational,Low,500,Low,0.27,0.76,5.95,26,longtail_variant
pre workout benefits,Category Terms,informational,Medium,2943,Low,0.29,0.75,6.95,16,longtail_variant
pre workout side effects,Long-Tail Informational,informational,Low,853,Medium,0.48,1.17,4.95,36,longtail_variant
pre workout dosage,Category Terms,commercial,Medium,2134,Low,0.28,0.79,7.55,10,longtail_variant
best time to take pre workout,Long-Tail Informational,commercial,Medium,851,Medium,0.38,0.91,6.55,20,longtail_variant
pre workout for beginners,Long-Tail Informational,informational,Medium,1200,Low,0.28,0.68,6.45,21,longtail_variant
pre workout vs protein powder,Competitor Terms,commercial,Medium,1484,Low,0.22,0.66,7.45,11,longtail_variant
natural pre workout,Category Terms,commercial,Medium,1312,Low,0.24,0.71,7.05,15,longtail_variant
pre workout tips,Long-Tail Informational,informational,Low,865,High,0.66,2.0,3.95,41,longtail_variant
why use pre workout,Long-Tail Informational,informational,Low,757,Medium,0.54,1.34,4.95,36,longtail_variant
pre workout ingredients,Category Terms,informational,Medium,2379,Low,0.22,0.8,6.95,16,longtail_variant
pre workout nutrition facts,Long-Tail Informational,informational,Low,1956,Medium,0.51,1.22,5.85,27,longtail_variant
how to use protein isolate,Long-Tail Informational,informational,Low,634,Medium,0.34,1.07,5.35,32,longtail_variant
what is protein isolate,Long-Tail Informational,informational,Low,1785,High,0.69,1.92,4.85,37,longtail_variant
protein isolate benefits,Category Terms,informational,Medium,579,Low,0.23,0.81,6.35,22,longtail_variant
protein isolate side effects,Long-Tail Informational,informational,Medium,2664,Medium,0.53,1.32,6.35,22,longtail_variant
protein isolate dosage,Category Terms,commercial,Medium,517,Low,0.23,0.77,6.95,16,longtail_variant
best time to take protein isolate,Long-Tail Informational,commercial,Medium,2030,Medium,0.41,1.07,7.15,14,longtail_variant
protein isolate for beginners,Long-Tail Informational,informational,Medium,2398,Medium,0.58,1.13,6.35,22,longtail_variant
protein isolate vs protein powder,Competitor Terms,commercial,Medium,3239,Medium,0.43,0.91,7.35,12,longtail_variant
natural protein isolate,Category Terms,commercial,Medium,1334,Medium,0.51,1.2,6.45,21,longtail_variant
organic protein isolate,Category Terms,commercial,Medium,1894,Medium,0.46,1.21,6.45,21,longtail_variant
protein isolate guide,Long-Tail Informational,informational,Low,1190,Medium,0.52,1.21,5.85,27,longtail_variant
protein isolate tips,Long-Tail Informational,informational,Medium,2083,Medium,0.55,1.23,6.35,22,longtail_variant
protein isolate ingredients,Category Terms,informational,Low,1449,High,0.73,1.97,4.85,37,longtail_variant
protein isolate nutrition facts,Long-Tail Informational,informational,Low,774,Medium,0.54,1.21,5.35,32,longtail_variant
how to use bodybuilding supplements,Long-Tail Informational,informational,Medium,1740,Medium,0.33,0.97,6.25,23,longtail_variant
